roundId,price,startedAt,updatedAt,roundId
9.22E+19,2.38E+11,1645703284,1645703284,9.22E+19
9.22E+19,2.38E+11,1645703744,1645703744,9.22E+19
9.22E+19,2.37E+11,1645706164,1645706164,9.22E+19
9.22E+19,2.37E+11,1645707303,1645707303,9.22E+19
9.22E+19,2.36E+11,1645707984,1645707984,9.22E+19
9.22E+19,2.38E+11,1645709094,1645709094,9.22E+19
9.22E+19,2.39E+11,1645709920,1645709920,9.22E+19
9.22E+19,2.40E+11,1645711029,1645711029,9.22E+19
9.22E+19,2.41E+11,1645711071,1645711071,9.22E+19
9.22E+19,2.39E+11,1645712482,1645712482,9.22E+19
9.22E+19,2.41E+11,1645713385,1645713385,9.22E+19
9.22E+19,2.42E+11,1645713580,1645713580,9.22E+19
9.22E+19,2.41E+11,1645714015,1645714015,9.22E+19
9.22E+19,2.43E+11,1645714471,1645714471,9.22E+19
9.22E+19,2.44E+11,1645714674,1645714674,9.22E+19
9.22E+19,2.46E+11,1645715715,1645715715,9.22E+19
9.22E+19,2.44E+11,1645717138,1645717138,9.22E+19
9.22E+19,2.46E+11,1645718091,1645718091,9.22E+19
9.22E+19,2.46E+11,1645718158,1645718158,9.22E+19
9.22E+19,2.47E+11,1645719173,1645719173,9.22E+19
9.22E+19,2.48E+11,1645719747,1645719747,9.22E+19
9.22E+19,2.47E+11,1645720711,1645720711,9.22E+19
9.22E+19,2.47E+11,1645720778,1645720778,9.22E+19
9.22E+19,2.47E+11,1645721942,1645721942,9.22E+19
9.22E+19,2.45E+11,1645723051,1645723051,9.22E+19
9.22E+19,2.44E+11,1645724902,1645724902,9.22E+19
9.22E+19,2.44E+11,1645725334,1645725334,9.22E+19
9.22E+19,2.46E+11,1645726569,1645726569,9.22E+19
9.22E+19,2.44E+11,1645727506,1645727506,9.22E+19
9.22E+19,2.46E+11,1645728252,1645728252,9.22E+19
9.22E+19,2.47E+11,1645728300,1645728300,9.22E+19
9.22E+19,2.49E+11,1645728782,1645728782,9.22E+19
9.22E+19,2.53E+11,1645728932,1645728932,9.22E+19
9.22E+19,2.54E+11,1645730563,1645730563,9.22E+19
9.22E+19,2.55E+11,1645731583,1645731583,9.22E+19
9.22E+19,2.57E+11,1645731816,1645731816,9.22E+19
9.22E+19,2.57E+11,1645732553,1645732553,9.22E+19
9.22E+19,2.60E+11,1645732983,1645732983,9.22E+19
9.22E+19,2.61E+11,1645733164,1645733164,9.22E+19
9.22E+19,2.62E+11,1645733240,1645733240,9.22E+19
9.22E+19,2.64E+11,1645733353,1645733353,9.22E+19
9.22E+19,2.68E+11,1645733441,1645733441,9.22E+19
9.22E+19,2.69E+11,1645734012,1645734012,9.22E+19
9.22E+19,2.68E+11,1645734408,1645734408,9.22E+19
9.22E+19,2.66E+11,1645734609,1645734609,9.22E+19
9.22E+19,2.65E+11,1645734762,1645734762,9.22E+19
9.22E+19,2.65E+11,1645736128,1645736128,9.22E+19
9.22E+19,2.64E+11,1645738537,1645738537,9.22E+19
9.22E+19,2.64E+11,1645739706,1645739706,9.22E+19
9.22E+19,2.62E+11,1645741865,1645741865,9.22E+19
9.22E+19,2.60E+11,1645742164,1645742164,9.22E+19
9.22E+19,2.59E+11,1645742588,1645742588,9.22E+19
9.22E+19,2.58E+11,1645743080,1645743080,9.22E+19
9.22E+19,2.57E+11,1645743341,1645743341,9.22E+19
9.22E+19,2.56E+11,1645743676,1645743676,9.22E+19
9.22E+19,2.57E+11,1645744088,1645744088,9.22E+19
9.22E+19,2.59E+11,1645744754,1645744754,9.22E+19
9.22E+19,2.60E+11,1645746959,1645746959,9.22E+19
9.22E+19,2.61E+11,1645748087,1645748087,9.22E+19
9.22E+19,2.63E+11,1645749079,1645749079,9.22E+19
9.22E+19,2.61E+11,1645749987,1645749987,9.22E+19
9.22E+19,2.60E+11,1645750598,1645750598,9.22E+19
