market,markTwap,indexTwap,evt_block_time
SOLUSD,99.1338,98.9662,2022-03-01T13:24:23+00:00
SOLUSD,99.1338,98.9627,2022-03-01T13:24:08+00:00
SOLUSD,99.1338,98.9516,2022-03-01T13:23:52+00:00
ETHUSD,2976.1925,2976.8207,2022-03-01T13:22:51+00:00
ETHUSD,2977.0855,2977.4623,2022-03-01T13:21:56+00:00
ETHUSD,2977.3832,2977.4734,2022-03-01T13:21:37+00:00
SOLUSD,99.1933,98.8113,2022-03-01T13:20:30+00:00
SOLUSD,99.1933,98.7995,2022-03-01T13:20:13+00:00
SOLUSD,99.1833,98.7891,2022-03-01T13:19:58+00:00
ETHUSD,2976.4901,2976.6885,2022-03-01T13:19:41+00:00
SOLUSD,99.1734,98.7773,2022-03-01T13:19:41+00:00
SOLUSD,99.1635,98.7669,2022-03-01T13:19:26+00:00
SOLUSD,99.1635,98.7544,2022-03-01T13:19:08+00:00
SOLUSD,99.1536,98.7439,2022-03-01T13:18:53+00:00
ETHUSD,2975.2998,2975.3092,2022-03-01T13:18:38+00:00
SOLUSD,99.1536,98.7335,2022-03-01T13:18:38+00:00
SOLUSD,99.1437,98.7231,2022-03-01T13:18:23+00:00
ETHUSD,2974.7049,2974.8320,2022-03-01T13:18:23+00:00
ETHUSD,2973.8126,2973.7185,2022-03-01T13:17:48+00:00
SOLUSD,99.0941,98.6877,2022-03-01T13:17:32+00:00
SOLUSD,99.0743,98.6766,2022-03-01T13:17:16+00:00
ETHUSD,2970.2464,2970.4099,2022-03-01T13:16:04+00:00
ETHUSD,2968.7617,2968.8192,2022-03-01T13:15:14+00:00
SOLUSD,98.8863,98.5814,2022-03-01T13:14:59+00:00
SOLUSD,98.8566,98.5599,2022-03-01T13:14:28+00:00
ETHUSD,2966.9811,2966.8467,2022-03-01T13:14:12+00:00
SOLUSD,98.8368,98.5488,2022-03-01T13:14:12+00:00
ETHUSD,2966.3878,2966.3695,2022-03-01T13:13:57+00:00
SOLUSD,98.8072,98.5272,2022-03-01T13:13:41+00:00
SOLUSD,98.7973,98.5140,2022-03-01T13:13:22+00:00
ETHUSD,2965.2015,2965.1704,2022-03-01T13:13:22+00:00
ETHUSD,2961.9417,2961.9877,2022-03-01T13:12:05+00:00
ETHUSD,2961.3494,2961.3677,2022-03-01T13:11:50+00:00
SOLUSD,98.7380,98.4286,2022-03-01T13:11:19+00:00
SOLUSD,98.7282,98.4078,2022-03-01T13:10:49+00:00
SOLUSD,98.7183,98.3960,2022-03-01T13:10:32+00:00
ETHUSD,2956.9110,2957.3584,2022-03-01T13:10:13+00:00
ETHUSD,2954.8420,2955.3330,2022-03-01T13:09:24+00:00
ETHUSD,2954.2511,2954.7130,2022-03-01T13:09:09+00:00
SOLUSD,98.6492,98.3411,2022-03-01T13:08:54+00:00
ETHUSD,2953.3650,2954.0930,2022-03-01T13:08:54+00:00
SOLUSD,98.6394,98.3411,2022-03-01T13:08:38+00:00
ETHUSD,2952.1839,2952.8117,2022-03-01T13:08:23+00:00
ETHUSD,2949.2334,2950.1250,2022-03-01T13:07:18+00:00
ETHUSD,2948.6436,2949.4637,2022-03-01T13:07:02+00:00
SOLUSD,98.5506,98.3411,2022-03-01T13:07:02+00:00
ETHUSD,2947.7592,2949.0014,2022-03-01T13:06:46+00:00
SOLUSD,98.5408,98.3411,2022-03-01T13:06:46+00:00
ETHUSD,2947.1697,2948.5680,2022-03-01T13:06:31+00:00
SOLUSD,98.5112,98.3411,2022-03-01T13:06:15+00:00
ETHUSD,2946.8750,2948.1057,2022-03-01T13:06:15+00:00
ETHUSD,2946.2858,2947.5856,2022-03-01T13:05:57+00:00
ETHUSD,2945.6966,2947.0944,2022-03-01T13:05:40+00:00
SOLUSD,98.4817,98.3411,2022-03-01T13:05:40+00:00
SOLUSD,98.4620,98.3411,2022-03-01T13:05:09+00:00
ETHUSD,2944.8131,2946.5087,2022-03-01T13:05:09+00:00
SOLUSD,98.4423,98.3411,2022-03-01T13:04:51+00:00
SOLUSD,98.4325,98.3411,2022-03-01T13:04:36+00:00
ETHUSD,2944.5186,2946.1946,2022-03-01T13:04:36+00:00
SOLUSD,98.3636,98.3411,2022-03-01T13:02:17+00:00
SOLUSD,98.3242,98.3411,2022-03-01T13:01:16+00:00
SOLUSD,98.3046,98.3411,2022-03-01T13:00:54+00:00
SOLUSD,98.2849,98.3411,2022-03-01T13:00:31+00:00
SOLUSD,98.2554,98.3411,2022-03-01T13:00:00+00:00
SOLUSD,98.2456,98.3411,2022-03-01T12:59:45+00:00
ETHUSD,2936.8732,2937.4607,2022-03-01T12:58:13+00:00
ETHUSD,2935.9923,2936.8510,2022-03-01T12:57:38+00:00
SOLUSD,98.1867,98.3411,2022-03-01T12:57:17+00:00
SOLUSD,98.1572,98.3411,2022-03-01T12:55:58+00:00
SOLUSD,98.1376,98.3411,2022-03-01T12:54:59+00:00
SOLUSD,98.1180,98.3411,2022-03-01T12:54:29+00:00
SOLUSD,98.1082,98.3434,2022-03-01T12:54:12+00:00
ETHUSD,2931.8850,2933.2620,2022-03-01T12:54:12+00:00
SOLUSD,98.0886,98.3564,2022-03-01T12:53:49+00:00
SOLUSD,98.0395,98.4257,2022-03-01T12:51:47+00:00
SOLUSD,98.0297,98.4785,2022-03-01T12:50:14+00:00
SOLUSD,98.0395,98.5103,2022-03-01T12:49:18+00:00
SOLUSD,98.0395,98.5199,2022-03-01T12:49:01+00:00
SOLUSD,98.0297,98.5375,2022-03-01T12:48:30+00:00
ETHUSD,2928.0762,2929.6942,2022-03-01T12:48:30+00:00
SOLUSD,98.0199,98.5460,2022-03-01T12:48:15+00:00
